,X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster,distlobos,lobos
128,709,49127,2020-04-17,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
129,707,49127,2020-04-17,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120,2953.08070847133,0
130,713,49127,2020-04-18,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
131,711,49127,2020-04-18,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120,2953.08070847133,0
132,717,49127,2020-04-19,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
133,715,49127,2020-04-19,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120,2953.08070847133,0
134,720,49127,2020-04-20,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
135,718,49127,2020-04-20,04:00:00,-64.72213,-54.80213,389301.9936,3925867.372,6221.95169603192,0,141,2468.59267859688,0
136,724,49127,2020-04-21,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103,3314.62314267647,0
137,722,49127,2020-04-21,04:00:00,-64.725334,-54.805332,389104.8314,3925506.058,6037.95171139138,0,153,2842.08000615511,0
138,726,49127,2020-04-22,16:00:00,-64.70827,-54.794666,390172.5839,3926719.606,6569.63414935959,0,128,1284.87280612448,1
139,729,49127,2020-04-23,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103,3314.62314267647,0
140,731,49127,2020-04-24,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103,3314.62314267647,0
141,734,49127,2020-04-25,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103,3314.62314267647,0
142,732,49127,2020-04-25,04:00:00,-64.7232,-54.8032,389236.1479,3925746.635,6157.99602869069,0,141,2592.07870152581,0
143,738,49127,2020-04-26,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
144,736,49127,2020-04-26,04:00:00,-64.7232,-54.805332,389241.9795,3925509.432,5960.02232165406,0,122,2733.57766275169,0
145,742,49127,2020-04-27,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
146,740,49127,2020-04-27,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120,2953.08070847133,0
147,745,49127,2020-04-28,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
148,747,49127,2020-04-29,04:00:00,-64.7328,-54.805332,388625.0061,3925494.222,6326.44749883037,0,104,3238.8962611008,0
149,749,49127,2020-04-29,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
150,752,49127,2020-04-30,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
151,750,49127,2020-04-30,04:00:00,-64.72747,-54.8032,388961.7087,3925739.88,6311.06511664077,0,157,2822.61873657264,0
152,754,49127,2020-05-01,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
153,757,49127,2020-05-02,16:00:00,-64.7296,-54.8064,388833.5959,3925380.477,6105.66700561789,0,120,3133.61251448498,0
154,755,49127,2020-05-02,04:00:00,-64.725334,-54.804268,389101.9174,3925624.437,6135.15168162847,0,153,2772.59306457733,0
155,761,49127,2020-05-03,16:00:00,-64.7328,-54.805332,388625.0061,3925494.222,6326.44749883037,0,104,3238.8962611008,0
156,759,49127,2020-05-03,04:00:00,-64.7264,-54.805332,389036.3216,3925504.371,6077.66427423681,0,153,2897.19376528753,0
157,765,49127,2020-05-04,16:00:00,-64.731735,-54.805332,388693.4515,3925495.913,6283.86491036436,0,116,3180.88657134915,0
158,763,49127,2020-05-04,04:00:00,-64.724266,-54.804268,389170.5576,3925626.127,6096.51096533897,0,122,2716.57604296304,0
159,768,49127,2020-05-05,16:00:00,-64.731735,-54.8064,388696.3873,3925377.089,6190.91310401939,0,104,3246.20014760218,0
160,772,49127,2020-05-06,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
