X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster
789,49127,2020-05-11,04:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
2,49138,2020-01-14,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
5,49138,2020-01-14,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
9,49138,2020-01-15,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
13,49138,2020-01-15,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
17,49138,2020-01-16,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
22,49138,2020-01-16,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
27,49138,2020-01-17,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
33,49138,2020-01-17,16:00:00,-64.67413,-54.859734,392540.246,3919533.096,162.868887564274,1,8
37,49138,2020-01-18,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
43,49138,2020-01-18,16:00:00,-64.66987,-54.85227,392793.8658,3920370.071,292.603674969537,1,9
50,49138,2020-01-19,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1,8
45,49138,2020-01-19,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10
53,49138,2020-01-20,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
58,49138,2020-01-20,16:00:00,-64.67627,-54.8608,392405.7343,3919411.208,86.8728657932399,1,13
61,49138,2020-01-21,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
66,49138,2020-01-21,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1,8
70,49138,2020-01-22,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
74,49138,2020-01-22,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1,8
81,49138,2020-01-23,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
84,49138,2020-01-24,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
89,49138,2020-01-24,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
96,49138,2020-01-25,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1,2
104,49138,2020-01-26,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1,2
107,49138,2020-01-27,04:00:00,-64.672,-54.861866,392682.6165,3919299.154,28.6451112086743,1,2
112,49138,2020-01-27,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1,2
118,49138,2020-01-28,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
115,49138,2020-01-28,04:00:00,-64.673065,-54.862934,392617.1043,3919178.696,1.84855075933725,1,18
122,49138,2020-01-29,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
126,49138,2020-01-29,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
131,49138,2020-01-30,16:00:00,-64.6752,-54.862934,392480.086,3919175.421,20.7478309171573,1,21
134,49138,2020-01-31,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
138,49138,2020-01-31,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
146,49138,2020-02-01,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
153,49138,2020-02-02,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15,1.84590333875455,1,21
160,49138,2020-02-03,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15,1.84590333875455,1,21
164,49138,2020-02-04,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
167,49138,2020-02-04,16:00:00,-64.67947,-54.862934,392206.0496,3919168.859,1.05464608863886,1,29
171,49138,2020-02-05,04:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1,28
175,49138,2020-02-05,16:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1,28
184,49138,2020-02-06,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1,11
179,49138,2020-02-06,04:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1,28
192,49138,2020-02-08,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
197,49138,2020-02-08,16:00:00,-64.67627,-54.862934,392411.4164,3919173.778,44.0427667206927,1,21
202,49138,2020-02-09,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
206,49138,2020-02-09,16:00:00,-64.67413,-54.865067,392554.4279,3918939.744,127.714101233182,1,32
210,49138,2020-02-10,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
216,49138,2020-02-10,16:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10
