id,date,hour,lon,lat,X,Y
49180,2020-02-05,16:00:00,-64.6816,-54.858665,392057.9495,3919640.549
49152,2020-02-06,04:00:00,-64.673065,-54.8672,392628.4419,3918704.059
49138,2020-02-06,04:00:00,-64.6784,-54.861866,392271.8718,3919289.331
49180,2020-02-06,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612
49178,2020-02-06,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-02-06,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774
49180,2020-02-06,16:00:00,-64.6752,-54.866135,392488.604,3918819.276
49138,2020-02-06,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-02-06,16:00:00,-64.67947,-54.856533,392188.9738,3919881.036
49152,2020-02-06,16:00:00,-64.673065,-54.855465,392597.2556,3920009.7
49178,2020-02-07,04:00:00,-64.67947,-54.856533,392188.9738,3919881.036
49127,2020-02-07,16:00:00,-64.65387,-54.87467,393879.8214,3917902.194
49180,2020-02-07,16:00:00,-64.67947,-54.8576,392191.8201,3919762.321
49178,2020-02-07,16:00:00,-64.658134,-54.85227,393547.2493,3920387.967
49152,2020-02-07,16:00:00,-64.65707,-54.85227,393615.552,3920389.583
49138,2020-02-08,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247
49178,2020-02-08,04:00:00,-64.67094,-54.85227,392725.178,3920368.433
49180,2020-02-08,16:00:00,-64.658134,-54.875732,393609.0462,3917777.566
49127,2020-02-08,16:00:00,-64.66026,-54.8736,393467.0249,3918011.543
49152,2020-02-08,16:00:00,-64.66987,-54.864,392824.9781,3919064.986
49138,2020-02-08,16:00:00,-64.67627,-54.862934,392411.4164,3919173.778
49178,2020-02-08,16:00:00,-64.66133,-54.85227,393342.0844,3920383.106
49178,2020-02-09,04:00:00,-64.65493,-54.878933,393823.0216,3917426.281
49127,2020-02-09,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49152,2020-02-09,04:00:00,-64.67094,-54.864,392756.3102,3919063.348
49138,2020-02-09,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247
49180,2020-02-09,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612
49178,2020-02-09,16:00:00,-64.65493,-54.882133,393831.4355,3917070.246
49127,2020-02-09,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154
49138,2020-02-09,16:00:00,-64.67413,-54.865067,392554.4279,3918939.744
49180,2020-02-09,16:00:00,-64.66987,-54.864,392824.9781,3919064.986
49152,2020-02-09,16:00:00,-64.6272,-54.8576,395546.8161,3919841.509
49127,2020-02-10,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49138,2020-02-10,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247
49180,2020-02-10,04:00:00,-64.67947,-54.859734,392197.5129,3919524.892
49178,2020-02-10,04:00:00,-64.6816,-54.856533,392052.2549,3919877.756
49127,2020-02-10,16:00:00,-64.658134,-54.877865,393614.6652,3917540.246
49152,2020-02-10,16:00:00,-64.66773,-54.866135,392967.9698,3918830.716
49180,2020-02-10,16:00:00,-64.6784,-54.861866,392271.8718,3919289.331
49138,2020-02-10,16:00:00,-64.67413,-54.861866,392545.9155,3919295.889
49178,2020-02-10,16:00:00,-64.67413,-54.853333,392523.2252,3920245.274
49127,2020-02-11,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49152,2020-02-11,04:00:00,-64.6688,-54.862934,392890.8201,3919185.226
49138,2020-02-11,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889
49180,2020-02-11,04:00:00,-64.67947,-54.859734,392197.5129,3919524.892
49178,2020-02-11,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-02-11,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154
49152,2020-02-11,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49138,2020-02-11,16:00:00,-64.67413,-54.8608,392543.0807,3919414.493
49180,2020-02-11,16:00:00,-64.67947,-54.859734,392197.5129,3919524.892
49178,2020-02-11,16:00:00,-64.6784,-54.858665,392263.3379,3919645.475
49127,2020-02-12,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49138,2020-02-12,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889
49178,2020-02-12,04:00:00,-64.6688,-54.8544,392868.1991,3920134.723
49180,2020-02-12,16:00:00,-64.650665,-54.896,394141.3933,3915533.842
49178,2020-02-12,16:00:00,-64.65387,-54.877865,393888.2164,3917546.715
49152,2020-02-12,16:00:00,-64.658134,-54.875732,393609.0462,3917777.566
49127,2020-02-12,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774
49138,2020-02-12,16:00:00,-64.680534,-54.859734,392129.223,3919523.254
49152,2020-02-13,04:00:00,-64.66987,-54.8736,392850.4442,3917996.883
49127,2020-02-13,04:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49178,2020-02-13,04:00:00,-64.6688,-54.85227,392862.5535,3920371.708
49127,2020-02-13,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154
49152,2020-02-13,16:00:00,-64.67947,-54.8608,392200.3566,3919406.288
49138,2020-02-13,16:00:00,-64.680534,-54.859734,392129.223,3919523.254
49180,2020-02-13,16:00:00,-64.680534,-54.858665,392126.3695,3919642.191
49178,2020-02-13,16:00:00,-64.673065,-54.856533,392600.0936,3919890.874
49127,2020-02-14,04:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49138,2020-02-14,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604
49180,2020-02-14,04:00:00,-64.680534,-54.8608,392132.0686,3919404.651
49152,2020-02-14,04:00:00,-64.67947,-54.859734,392197.5129,3919524.892
49178,2020-02-14,04:00:00,-64.6688,-54.85227,392862.5535,3920371.708
49127,2020-02-14,16:00:00,-64.66133,-54.87253,393395.5493,3918128.964
49180,2020-02-14,16:00:00,-64.680534,-54.859734,392129.223,3919523.254
49138,2020-02-14,16:00:00,-64.680534,-54.8576,392123.5267,3919760.683
49178,2020-02-14,16:00:00,-64.67094,-54.85227,392725.178,3920368.433
49127,2020-02-15,04:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49180,2020-02-15,04:00:00,-64.680534,-54.8608,392132.0686,3919404.651
49127,2020-02-15,16:00:00,-64.65387,-54.88,393893.8263,3917309.172
49152,2020-02-15,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-02-15,16:00:00,-64.67733,-54.855465,392323.4893,3920003.153
49180,2020-02-15,16:00:00,-64.65387,-54.84693,393806.9475,3920988.569
49127,2020-02-16,04:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49180,2020-02-16,04:00:00,-64.680534,-54.861866,392134.9142,3919286.047
49138,2020-02-16,04:00:00,-64.67947,-54.861866,392203.2004,3919287.685
49127,2020-02-16,16:00:00,-64.66133,-54.87253,393395.5493,3918128.964
49152,2020-02-16,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-02-16,16:00:00,-64.67733,-54.8608,392337.7029,3919409.579
49138,2020-02-16,16:00:00,-64.68266,-54.859734,391992.7717,3919519.978
49180,2020-02-16,16:00:00,-64.67947,-54.859734,392197.5129,3919524.892
49127,2020-02-17,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49152,2020-02-17,04:00:00,-64.673065,-54.866135,392625.6114,3918822.551
49138,2020-02-17,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604
49178,2020-02-17,04:00:00,-64.6688,-54.853333,392865.371,3920253.438
49152,2020-02-17,16:00:00,-64.673065,-54.8672,392628.4419,3918704.059
49127,2020-02-17,16:00:00,-64.6688,-54.864,392893.6459,3919066.622
49138,2020-02-17,16:00:00,-64.68266,-54.858665,391989.9146,3919638.915
49178,2020-02-17,16:00:00,-64.6784,-54.8576,392260.4987,3919763.967
49180,2020-02-17,16:00:00,-64.67947,-54.855465,392186.1249,3919999.862
49127,2020-02-18,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49152,2020-02-18,04:00:00,-64.673065,-54.866135,392625.6114,3918822.551
49138,2020-02-18,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604
49178,2020-02-18,04:00:00,-64.66987,-54.85227,392793.8658,3920370.071
49152,2020-02-18,16:00:00,-64.664536,-54.8704,393184.2133,3918361.065
49127,2020-02-18,16:00:00,-64.67094,-54.864,392756.3102,3919063.348
49138,2020-02-18,16:00:00,-64.680534,-54.858665,392126.3695,3919642.191
49178,2020-02-18,16:00:00,-64.73067,-54.845867,388873.2813,3920987.731
49180,2020-02-18,16:00:00,-64.66987,-54.842667,392768.3985,3921438.503
49138,2020-02-19,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604
49178,2020-02-19,04:00:00,-64.67094,-54.853333,392727.9991,3920250.163
49127,2020-02-19,16:00:00,-64.658134,-54.875732,393609.0462,3917777.566
49152,2020-02-19,16:00:00,-64.673065,-54.866135,392625.6114,3918822.551
49138,2020-02-19,16:00:00,-64.6752,-54.865067,392485.762,3918938.103
49180,2020-02-19,16:00:00,-64.680534,-54.8608,392132.0686,3919404.651
49178,2020-02-19,16:00:00,-64.67094,-54.853333,392727.9991,3920250.163
49138,2020-02-20,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604
49178,2020-02-20,04:00:00,-64.67094,-54.853333,392727.9991,3920250.163
